order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,"2020-05-10 01:35:56",1,3,380
2,"2022-02-03 06:14:25",1,4,515
3,"2021-11-24 10:08:43",1,2,766
4,"2020-07-28 18:34:14",2,1,189
5,"2021-02-21 23:30:16",2,1,978
6,"2022-11-27 17:25:18",3,4,14
7,"2021-04-14 01:26:42",3,4,454
8,"2022-07-23 16:37:47",4,3,361
9,"2022-05-30 16:55:50",4,3,857
10,"2023-02-13 05:59:04",5,2,188
11,"2022-11-28 11:18:11",6,1,450
12,"2021-07-15 18:52:15",7,2,370
13,"2021-05-14 18:47:12",7,2,782
14,"2021-06-26 21:04:47",8,1,966
15,"2022-04-04 17:24:25",9,3,331
16,"2020-11-12 22:59:11",10,1,551
17,"2020-06-26 18:02:56",11,4,671
18,"2022-10-04 18:01:22",11,2,958
19,"2021-05-25 13:58:00",12,4,910
20,"2023-01-19 09:07:55",13,4,23
21,"2021-09-28 01:46:43",13,3,257
22,"2020-12-15 01:34:35",14,4,148
23,"2020-10-22 15:55:01",14,3,654
24,"2022-02-08 02:12:12",15,1,823
25,"2021-01-24 20:35:08",16,1,413
26,"2022-08-26 13:15:53",17,3,301
27,"2023-02-15 20:44:02",18,4,784
28,"2020-11-17 12:31:50",19,4,450
29,"2021-11-26 05:26:44",20,2,341
30,"2022-08-01 16:39:44",20,1,524
31,"2020-04-21 05:32:40",21,2,198
32,"2021-11-04 05:21:20",21,4,595
33,"2020-08-16 05:49:34",21,4,618
34,"2022-08-08 16:27:57",21,3,651
35,"2023-03-07 22:23:11",22,4,64
36,"2022-05-13 15:07:23",22,4,181
37,"2022-08-17 15:49:49",22,3,973
38,"2022-12-24 22:38:18",23,4,994
39,"2021-05-06 01:37:37",24,4,604
40,"2023-01-12 21:08:28",25,4,460
41,"2021-11-19 05:00:25",26,2,683
42,"2020-10-30 02:50:05",26,3,860
43,"2023-02-17 10:46:13",27,1,827
44,"2022-05-15 13:05:35",28,1,269
45,"2023-03-08 09:48:32",28,3,532
46,"2021-06-27 22:30:09",29,2,349
47,"2020-12-22 05:14:18",29,4,931
48,"2020-06-14 18:58:36",30,1,277
49,"2021-03-03 03:23:03",31,1,49
50,"2021-06-20 15:28:51",32,3,801
51,"2020-09-22 01:39:07",33,3,77
52,"2021-11-20 14:01:55",33,2,167
53,"2020-09-06 13:42:33",34,4,238
54,"2020-04-23 16:09:30",34,1,865
55,"2021-01-31 17:35:58",35,1,731
56,"2021-03-03 22:56:03",36,4,896
57,"2021-10-25 15:19:34",37,3,751
58,"2021-04-25 14:45:37",38,2,311
59,"2020-12-23 00:28:48",38,3,900
60,"2022-01-20 22:15:06",39,3,270
61,"2021-08-10 12:25:47",39,2,554
62,"2021-05-22 13:52:22",40,3,411
63,"2021-04-04 09:41:15",40,1,554
64,"2020-09-20 13:10:44",40,3,734
65,"2020-09-17 21:10:59",41,1,894
66,"2022-05-27 21:50:25",42,4,25
67,"2021-08-03 10:17:20",42,1,273
68,"2020-11-21 00:53:53",43,3,473
69,"2020-12-05 22:26:05",44,4,281
70,"2022-01-01 12:08:51",45,1,165
71,"2021-01-07 06:51:44",46,1,37
72,"2022-08-30 23:01:41",46,3,415
73,"2020-10-15 17:44:42",46,1,972
74,"2021-05-12 11:52:20",47,1,366
75,"2022-02-05 19:50:13",47,3,462
76,"2021-12-21 08:01:19",47,4,545
77,"2021-11-28 23:51:29",48,2,35
78,"2021-11-22 23:04:45",48,1,969
79,"2022-02-17 09:45:02",49,2,230
80,"2020-10-12 03:31:11",49,4,376
81,"2022-12-21 05:05:29",49,3,408
82,"2022-10-12 19:01:43",50,3,709
83,"2020-06-10 05:41:39",51,3,535
84,"2022-09-01 10:54:02",51,1,909
85,"2023-01-26 13:50:10",52,4,938
86,"2022-09-04 22:45:11",52,2,941
87,"2020-07-28 21:45:10",53,3,272
88,"2023-02-18 18:30:00",53,3,839
89,"2021-09-26 13:41:41",54,4,275
90,"2023-02-15 23:40:26",54,2,850
91,"2023-02-13 16:31:15",54,4,953
92,"2022-06-28 06:48:08",55,3,11
93,"2022-07-21 06:31:43",55,2,128
94,"2020-06-06 16:47:43",56,3,677
95,"2021-07-17 22:19:29",57,4,215
96,"2022-10-15 10:58:54",57,2,917
97,"2021-06-07 09:42:08",58,3,212
98,"2020-06-15 15:28:46",58,2,229
99,"2023-02-02 16:45:32",58,1,550
100,"2021-12-19 13:04:39",59,3,541
101,"2021-11-23 03:36:53",59,4,818
102,"2021-08-20 00:57:02",60,3,250
103,"2020-05-02 11:29:55",60,3,742
104,"2021-12-22 19:53:33",60,1,749
105,"2022-11-16 12:26:25",61,2,84
106,"2022-03-17 11:18:16",61,3,407
107,"2022-05-26 08:47:39",61,2,603
108,"2023-01-20 19:19:15",62,1,741
109,"2021-10-18 01:55:10",63,4,255
110,"2021-12-17 08:33:14",63,1,348
111,"2021-06-08 03:13:04",63,2,692
112,"2021-12-10 10:07:32",64,4,260
113,"2021-04-29 21:23:42",64,4,368
114,"2023-01-26 05:20:59",65,4,348
115,"2022-09-24 07:03:40",66,1,417
116,"2021-08-03 15:59:03",66,1,590
117,"2020-12-16 02:07:14",67,3,780
118,"2022-03-24 18:24:14",68,1,211
119,"2022-01-18 20:33:44",69,3,538
120,"2022-03-28 11:01:06",69,3,703
121,"2021-05-30 02:15:33",70,2,311
122,"2021-12-23 17:43:51",70,3,627
123,"2022-03-30 06:31:34",70,2,963
124,"2022-02-23 14:23:14",71,2,824
125,"2020-12-18 00:35:34",72,3,33
126,"2020-04-20 03:44:54",72,4,331
127,"2021-05-17 19:51:18",72,2,625
128,"2020-10-12 09:29:02",73,1,484
129,"2020-10-12 03:28:12",74,4,872
130,"2023-02-16 06:32:42",75,2,611
131,"2022-10-01 23:05:44",75,2,854
132,"2021-06-20 21:53:04",76,3,519
133,"2021-06-28 17:54:52",76,4,940
134,"2021-06-10 01:23:03",77,2,514
135,"2020-04-10 11:02:32",78,4,11
136,"2022-07-31 07:18:51",78,3,323
137,"2022-11-23 17:33:40",78,4,405
138,"2023-02-23 05:48:27",79,2,830
139,"2022-01-24 02:15:55",80,2,770
140,"2020-03-28 16:44:43",81,3,24
141,"2022-04-17 11:44:40",81,3,226
142,"2020-10-03 02:24:31",81,2,806
143,"2021-01-16 14:02:09",82,2,177
144,"2022-05-18 06:58:27",83,2,110
145,"2021-02-10 08:09:24",83,4,406
146,"2021-01-23 22:10:46",84,3,361
147,"2022-07-19 13:58:17",84,1,877
148,"2021-03-04 19:48:47",85,1,497
149,"2020-09-12 12:40:39",85,3,593
150,"2021-01-18 16:31:26",86,3,241
151,"2022-12-29 09:49:41",87,2,418
152,"2020-10-11 15:59:26",88,4,609
153,"2021-03-07 01:20:29",89,4,59
154,"2021-09-28 03:32:28",89,3,89
155,"2022-10-22 09:10:41",90,2,92
156,"2023-01-05 00:29:09",90,4,322
157,"2020-04-20 00:36:05",90,2,931
