line_id,order_id,book_id,price
81267,1,10237,5.35
81268,2,6416,1.62
81269,3,7511,2.65
81270,4096,7081,15.69
81271,4097,164,14.39
81272,4098,6154,12.13
81273,6143,4165,1.02
81274,6144,1485,10.27
81275,6145,1857,5.88
81276,8190,10779,19.24
81277,8191,10057,12.66
81278,8192,5042,7.34
81279,9213,5288,5.50
81280,9214,10572,18.50
81281,9215,8623,1.99
81282,10236,1920,11.28
81283,10237,3375,16.48
81284,10238,2334,11.53
81285,10747,2834,10.86
81286,10748,10587,2.56
81287,10749,8743,10.89
81288,11258,4064,3.85
81289,11259,9656,15.21
81290,11260,2224,14.35
81291,11385,10984,15.68
81292,11386,10653,8.71
81293,11387,3395,4.38
81294,4,2007,4.89
81295,5,7574,13.40
81296,4099,3438,10.68
81297,4100,8274,2.31
81298,6146,3862,7.77
81299,6147,10032,6.84
81300,8193,68,0.08
81301,8194,17,19.91
81302,9216,10839,17.67
81303,9217,5503,16.45
81304,10239,6998,13.54
81305,10240,5543,9.20
81306,10750,8951,12.85
81307,10751,8908,1.49
81308,11261,10798,12.58
81309,11262,2596,5.59
81310,11388,7771,13.06
81311,11389,1882,17.74
81312,6,10321,19.53
81313,7,1123,11.49
81314,4101,6334,2.46
81315,4102,10095,3.34
81316,6148,1266,1.35
81317,6149,11081,15.54
81318,8195,9978,3.06
81319,8196,842,18.37
81320,9218,4078,1.53
81321,9219,3144,3.67
81322,10241,771,15.92
81323,10242,8597,9.49
81324,10752,622,17.10
81325,10753,1195,19.44
81326,11263,5984,15.46
81327,11264,2796,18.75
81328,11390,10388,17.10
81329,11391,5293,16.25
81330,8,7075,14.83
81331,9,8893,15.44
81332,4103,5147,19.93
81333,4104,6617,19.68
81334,6150,1507,14.51
81335,6151,2458,18.56
81336,8197,10873,2.04
81337,8198,6431,11.68
81338,9220,2074,3.59
81339,9221,3769,3.09
81340,10243,8427,6.45
81341,10244,3801,14.79
81342,10754,7489,2.93
81343,10755,7933,2.51
81344,11265,5433,1.30
81345,11266,9573,2.13
81346,11392,10587,8.75
81347,11393,3717,7.14
81348,10,8721,16.94
81349,4105,9843,17.63
81350,6152,8376,2.40
81351,8199,3793,6.89
81352,9222,7802,9.43
